,g_true,mv,em,gf
0,1.0,0.7046015873015875,0.8128059272603917,0.7761713228951173
1,1.0,0.7062873015873019,0.8157263503810427,0.7989019233519764
2,1.0,0.7006714285714288,0.8121048361743599,0.8191553007180458
3,0.95,0.6888928571428566,0.7872910357455394,0.7897656607724061
4,0.95,0.6960246031746037,0.7946492377029319,0.7767443227107425
5,0.95,0.681171428571429,0.7758756801475644,0.7740689402148743
6,0.9,0.6675952380952384,0.7451427834557178,0.7540681070061035
7,0.9,0.6729690476190477,0.7503662142950682,0.7599167669949104
8,0.9,0.6740634920634926,0.7638411449247672,0.7589339036567087
9,0.85,0.6642373015873021,0.7410169492727224,0.7309334345444052
10,0.85,0.6710738095238099,0.7645917502796704,0.7603153866724185
11,0.85,0.666049206349207,0.7388009337005037,0.7506738306217284
12,0.8,0.6454706349206356,0.7026735854263648,0.7076458119540815
13,0.8,0.6589650793650794,0.7248387078215168,0.7501201981819559
14,0.8,0.6427134920634919,0.7067456047833083,0.7085830162912663
15,0.75,0.6533428571428579,0.7215564013843657,0.7512520257390009
16,0.75,0.6497841269841268,0.715704671797049,0.7441980627585306
17,0.75,0.6367007936507938,0.6941481253833665,0.7302428636541026
18,0.7,0.6389658730158734,0.6904918947516563,0.7155766154307587
19,0.7,0.630136507936508,0.6755956571110193,0.7126628289863522
20,0.7,0.6444365079365083,0.704167532676224,0.7252616962898656
0,1.0,0.7001452380952382,0.8031677903455797,0.803450134323516
1,1.0,0.6923055555555552,0.7864968308207493,0.7822555629241684
2,1.0,0.7016531746031757,0.8021922262750026,0.7542602462519878
3,0.95,0.6892246031746031,0.7790186784178781,0.7671723310146573
4,0.95,0.6932119047619054,0.8005233263098013,0.8155965210334595
5,0.95,0.6923722222222226,0.7975542222081766,0.7994178059464427
6,0.9,0.6784238095238094,0.7639205979896858,0.7313911910745141
7,0.9,0.6710158730158733,0.751122458488254,0.7679306847449362
8,0.9,0.6691253968253968,0.7560054628850353,0.7618008135769372
9,0.85,0.6762063492063496,0.7643320930789834,0.7524021961219869
10,0.85,0.6712468253968262,0.7547865424392305,0.7786854724942602
11,0.85,0.6532126984126985,0.720455099193182,0.7465702292160289
12,0.8,0.6610412698412695,0.7242679198283472,0.7394199934602211
13,0.8,0.6555349206349211,0.7289720684793897,0.7277855250852558
14,0.8,0.6439000000000002,0.7006203303538261,0.7289875105309239
15,0.75,0.6615071428571428,0.7361425862279,0.7532699481411251
16,0.75,0.662188888888889,0.7320324394678431,0.7449486756787485
17,0.75,0.6525698412698413,0.7185618757831878,0.7335437630540966
18,0.7,0.6486761904761912,0.7110990129556172,0.7297624830191236
19,0.7,0.6319539682539685,0.6789612228800308,0.7263328793210092
20,0.7,0.6535023809523816,0.7218350165710211,0.7504972814395272
0,1.0,0.6970634920634922,0.8065086682261768,0.7826246637652419
1,1.0,0.6981500000000002,0.8020823286051231,0.7654580728571438
2,1.0,0.6941920634920633,0.7898215195971018,0.7804082389514123
3,0.95,0.6944833333333337,0.7915290078637727,0.7678614747270844
4,0.95,0.6762880952380953,0.7737402283796321,0.7469764434273343
5,0.95,0.6742976190476183,0.7505881868920812,0.7425062030362432
6,0.9,0.6889992063492069,0.7955452161766077,0.7766063577495681
7,0.9,0.6894000000000007,0.7934888669096865,0.7728345599673803
8,0.9,0.6775642857142857,0.7663597571575754,0.7634742661977645
9,0.85,0.6666571428571428,0.7444091507207846,0.7571816335107233
10,0.85,0.6836365079365089,0.7794170761320391,0.78711381886009
11,0.85,0.6794841269841273,0.770614269596211,0.7602926975382782
12,0.8,0.6662571428571431,0.7501884044243001,0.7553347605943409
13,0.8,0.6697047619047618,0.7561776846887167,0.7377842043575994
14,0.8,0.6572682539682544,0.7287765241299304,0.730607163685228
15,0.75,0.6406309523809529,0.6969786370100334,0.725206175846514
16,0.75,0.655713492063492,0.7226725763301487,0.7400207507258786
17,0.75,0.6440253968253968,0.6989246141750085,0.7319974778425229
18,0.7,0.636324603174603,0.6852447332041773,0.6954213802140926
19,0.7,0.6447936507936503,0.7106758878303019,0.7102700639567538
20,0.7,0.6325698412698413,0.6881351240414939,0.7138322153335389