,p_g,em,g,gf
0,0.0,0.411624764111,0.43962468753,0.523857256411
1,0.0,0.654187247568,0.623737928999,0.713596648084
2,0.0,0.668570837532,0.670726402313,0.649198499825
3,0.0,0.563011408949,0.487325495503,0.630863407217
4,0.0,0.572117760479,0.543344708908,0.641042179297
5,0.0,0.491826190735,0.491598344801,0.682683583921
6,0.0,0.664294457674,0.630323013597,0.53600630912
7,0.0,0.565362456556,0.519329931202,0.552141385539
8,0.0,0.427481036794,0.427453436612,0.647137258326
9,0.0,0.850704439099,0.850762553049,0.741008695513
10,0.4,0.664400129713,0.647831097149,0.636504030069
11,0.4,0.670216136868,0.62902864191,0.667084957052
12,0.4,0.575756427821,0.545392226276,0.605737319602
13,0.4,0.656890200838,0.637041633113,0.646543148719
14,0.4,0.692537824038,0.692546731332,0.795306316133
15,0.4,0.701058359828,0.701663775251,0.708260030108
16,0.4,0.480406097021,0.484008253105,0.657881087778
17,0.4,0.84516312639,0.741587236574,0.783960192545
18,0.4,0.614471798548,0.579673239836,0.702133073452
19,0.4,0.65369552673,0.627941164611,0.647630515913
20,0.7,0.670122585576,0.597027222796,0.62352631364
21,0.7,0.681295447914,0.605171678982,0.655526710085
22,0.7,0.743943453666,0.618438263601,0.683763086361
23,0.7,0.793475675313,0.764134750089,0.780834145965
24,0.7,0.665856735257,0.616220457956,0.660900355221
25,0.7,0.78197223507,0.752313153512,0.736300716656
26,0.7,0.589630854881,0.536302897663,0.581099569283
27,0.7,0.693227212548,0.651260926606,0.682128373731
28,0.7,0.701295844544,0.701248684231,0.700988543515
29,0.7,0.707722110963,0.603926516883,0.482834130363
30,1.0,0.604708072922,0.468663531367,0.520941011556
31,1.0,0.661548239956,0.618114829329,0.629238042931
32,1.0,0.686419937437,0.590494741361,0.596018521453
33,1.0,0.8272994271,0.756260364868,0.827274663673
34,1.0,0.799835830697,0.799567882256,0.799814724516
35,1.0,0.707394815903,0.7058056227,0.70194596003
36,1.0,0.705723286062,0.685107044354,0.623407843083
37,1.0,0.702971128313,0.726079306862,0.727008979647
38,1.0,0.789742541801,0.789751302801,0.760898077198
39,1.0,0.527799982942,0.536530822183,0.511926125866
0,0.1,0.618837535447,0.555378464769,0.613409790044
1,0.1,0.540772579532,0.507426743118,0.620527473237
2,0.1,0.628351676827,0.628658487062,0.548820828506
3,0.1,0.636946626007,0.637441206838,0.647368216341
4,0.1,0.755390061936,0.75615615696,0.709228009808
5,0.1,0.563446547837,0.565804622707,0.602419969152
6,0.1,0.656639106485,0.590007505999,0.543161055238
7,0.1,0.706583298108,0.665079943977,0.612425819597
8,0.1,0.386555103474,0.408813792956,0.639935787286
9,0.1,0.556277916,0.550658811667,0.60824381358
10,0.2,0.51844571985,0.49988341001,0.69699367038
11,0.2,0.648562334087,0.626296596303,0.655662042065
12,0.2,0.566250429126,0.56921053346,0.604661479091
13,0.2,0.66269874511,0.662948076933,0.663214959108
14,0.2,0.761424570598,0.761478929944,0.797199819796
15,0.2,0.582774166813,0.579400184269,0.600744940049
16,0.2,0.655153854558,0.639709856458,0.620283564375
17,0.2,0.628798692657,0.628759321832,0.603634671248
18,0.2,0.578837975652,0.55515402025,0.629736402304
19,0.2,0.585826260233,0.534346137589,0.538864792783
20,0.3,0.58455294024,0.607440443727,0.608700930541
21,0.3,0.549803897811,0.545417848529,0.679819220825
22,0.3,0.751365540226,0.530961404605,0.573222080906
23,0.3,0.655482658745,0.604093108734,0.633780840503
24,0.3,0.497169814337,0.550026445641,0.56445683874
25,0.3,0.574971036288,0.590188030903,0.676571259184
26,0.3,0.650193106063,0.625867587415,0.70950491393
27,0.3,0.600370129346,0.520147892286,0.671940888604
28,0.3,0.731469096082,0.729934048182,0.716116462012
29,0.3,0.484652558552,0.50652914564,0.554287296194
30,0.5,0.527191509903,0.524482247696,0.580990638665
31,0.5,0.562383895936,0.563376173716,0.606421613383
32,0.5,0.696832850049,0.669040125798,0.652202874555
33,0.5,0.656705893154,0.641205175906,0.677925426969
34,0.5,0.732988261765,0.70932887149,0.737634756986
35,0.5,0.637291880267,0.637192815584,0.619037508821
36,0.5,0.508126978587,0.496947208716,0.539536771988
37,0.5,0.689708259192,0.689249794962,0.68358583386
38,0.5,0.629663605605,0.620390902908,0.63615800211
39,0.5,0.706944080713,0.742326438754,0.725223593172
40,0.6,0.658235448795,0.611156758545,0.653979162211
41,0.6,0.656494752869,0.57753030264,0.524731792897
42,0.6,0.5268090678,0.532977258279,0.46659735249
43,0.6,0.72626305529,0.68868516859,0.699639976568
44,0.6,0.674667988708,0.637976722296,0.641490226216
45,0.6,0.449824824599,0.475563740381,0.450502867544
46,0.6,0.712003285191,0.703498957355,0.664918909726
47,0.6,0.767834840198,0.659844527639,0.743326079489
48,0.6,0.671539123654,0.6372478863,0.665738856696
49,0.6,0.641361228771,0.632718801197,0.694891887357
50,0.8,0.714281546372,0.713040157632,0.753511087582
51,0.8,0.627325862409,0.601877223034,0.624824339304
52,0.8,0.664385064096,0.612101011378,0.683602168788
53,0.8,0.637859743766,0.611677434481,0.665330477765
54,0.8,0.700530932816,0.6404724272,0.69358920703
55,0.8,0.628288035038,0.628471445095,0.636356949849
56,0.8,0.736735954326,0.66572989988,0.728717936367
57,0.8,0.887899578273,0.827323800784,0.886962214422
58,0.8,0.781772531147,0.78129276504,0.788989249884
59,0.8,0.869711348037,0.771223988342,0.872530702671
60,0.9,0.728808376874,0.591505204332,0.728125341409
61,0.9,0.58217622237,0.525854245888,0.578727900329
62,0.9,0.532998525267,0.490341608875,0.543219134239
63,0.9,0.760139323804,0.708028227515,0.574588934535
64,0.9,0.710822931892,0.710719698066,0.711291282054
65,0.9,0.748110631942,0.724180901103,0.744288514802
66,0.9,0.538188235631,0.534184955047,0.566205965684
67,0.9,0.648974471829,0.540859551766,0.644209867101
68,0.9,0.63074261618,0.617633286145,0.632355739644
69,0.9,0.664633177866,0.647665288424,0.61995560015
