,pi,mv,em,g,g_f
0,1.0,0.5862040871098845,0.5823321853707818,0.5713662326369744,0.5700483150369068
1,0.95,0.5766928254247097,0.5799658744609656,0.574902499929536,0.5603864734580788
2,0.9,0.5831337878439331,0.5871731338770455,0.5800153886938014,0.5676327847013661
3,0.85,0.570497557997558,0.5551684583243887,0.5480734270254991,0.5652173913043458
4,0.8,0.5735113986925584,0.5692127672302372,0.5502361370443912,0.5797101449275199
5,0.75,0.5615501111877924,0.5602004837887502,0.5601811705807506,0.5603864734336045
6,0.7,0.5715492304260422,0.5715491974305547,0.5616856257746851,0.5869565216776041
0,1.0,0.5862040871098845,0.582313076232359,0.5717818832682433,0.5942028989042445
1,0.95,0.5841049985977526,0.5942514234638028,0.5905711466553729,0.6449275362227492
2,0.9,0.5766244490882173,0.5763574802492956,0.5667899257126943,0.5990338603370023
3,0.85,0.5598407563987277,0.5610976296351396,0.5530168844244722,0.5603864736658861
4,0.8,0.5678879024893518,0.563431128975059,0.5651438411842191,0.5579432227195797
5,0.75,0.5632998375752,0.5598678234689781,0.5562018464832315,0.5748792270424937
6,0.7,0.5561988065611257,0.5686525144860006,0.5789248139256368,0.5917874396135264
0,1.0,0.5862040871098845,0.5823174789130152,0.571886164644525,0.601449275362317
1,0.95,0.5772228844692614,0.5690865726344653,0.5501597393277893,0.628019323671498
2,0.9,0.5734329143749431,0.5836194851327754,0.5734163492475817,0.567638932081275
3,0.85,0.5720988887655558,0.5722277358431306,0.5632716037683394,0.6091077714247131
4,0.8,0.5630986096565808,0.5762950918824843,0.5911382679260828,0.565217391304343
5,0.75,0.5600842796494974,0.5666895395720708,0.5382943013650584,0.5845410628019324
6,0.7,0.5580907417863935,0.5632764601875001,0.5709001656801809,0.5167291015628092
0,1.0,0.5862040871098845,0.5823321519054058,0.5748404043374827,0.5998853084491751
1,0.95,0.5856036743717906,0.5867273334743374,0.5819724654339914,0.5869565217374829
2,0.9,0.5857267464151527,0.5904188641782385,0.5854963385136339,0.5869565218452099
3,0.85,0.5798538351074584,0.5930484992324693,0.5940534490819996,0.5724637706432897
4,0.8,0.5746708806491417,0.5780237414106227,0.574894616563622,0.5657012863398994
5,0.75,0.5623527907948198,0.5721009195434626,0.5672432070961098,0.5579710144927538
6,0.7,0.5725752776477414,0.5827891815023066,0.5882629626716136,0.5869565217391306
0,1.0,0.5862040871098845,0.5823111099338825,0.5724698887184949,0.6207729468543995
1,0.95,0.5840886435089334,0.582423177398675,0.5734994804258741,0.5772754657378678
2,0.9,0.58085060403901,0.5945375964207057,0.5906445693531517,0.567632850241546
3,0.85,0.5701436647088822,0.5904011376442879,0.5846147985568282,0.5603845079901482
4,0.8,0.5683678573171331,0.5739712298873538,0.5741451357895991,0.5700483091787439
5,0.75,0.5607062690396023,0.5570827131458775,0.5541486274715306,0.5603864734576909
6,0.7,0.5543075684380032,0.5519712720955069,0.5602025760557605,0.5362318840579711